DateTime,Interbeat Interval (MS)
2026-01-07 12:57:00.488000+00:00,656
2026-01-07 12:57:01.152000+00:00,652
2026-01-07 12:57:01.777000+00:00,652
2026-01-07 12:57:02.441000+00:00,664
2026-01-07 12:57:03.105000+00:00,648
2026-01-07 12:57:03.730000+00:00,636
2026-01-07 12:57:04.394000+00:00,648
2026-01-07 12:57:05.058000+00:00,660
2026-01-07 12:57:05.722000+00:00,660
2026-01-07 12:57:06.347000+00:00,636
2026-01-07 12:57:06.972000+00:00,613
2026-01-07 12:57:07.558000+00:00,617
2026-01-07 12:57:08.222000+00:00,648
2026-01-07 12:57:08.925000+00:00,691
2026-01-07 12:57:09.628000+00:00,726
2026-01-07 12:57:10.370000+00:00,730
2026-01-07 12:57:11.035000+00:00,667
2026-01-07 12:57:11.699000+00:00,652
2026-01-07 12:57:12.363000+00:00,656
2026-01-07 12:57:12.988000+00:00,652
2026-01-07 12:57:13.613000+00:00,628
2026-01-07 12:57:14.238000+00:00,609
2026-01-07 12:57:14.824000+00:00,589
2026-01-07 12:57:15.410000+00:00,593
2026-01-07 12:57:16.074000+00:00,648
2026-01-07 12:57:16.738000+00:00,679
2026-01-07 12:57:17.402000+00:00,632
2026-01-07 12:57:19.003000+00:00,1613
2026-01-07 12:57:19.745000+00:00,734
2026-01-07 12:57:20.410000+00:00,695
2026-01-07 12:57:21.074000+00:00,640
2026-01-07 12:57:21.699000+00:00,625
2026-01-07 12:57:22.324000+00:00,613
2026-01-07 12:57:22.910000+00:00,613
2026-01-07 12:57:23.535000+00:00,625
2026-01-07 12:57:24.199000+00:00,636
2026-01-07 12:57:24.824000+00:00,628
2026-01-07 12:57:25.449000+00:00,636
2026-01-07 12:57:26.074000+00:00,636
2026-01-07 12:57:26.699000+00:00,628
2026-01-07 12:57:27.363000+00:00,656
2026-01-07 12:57:28.027000+00:00,671
2026-01-07 12:57:28.730000+00:00,683
2026-01-07 12:57:29.394000+00:00,667
2026-01-07 12:57:30.097000+00:00,687
2026-01-07 12:57:30.761000+00:00,691
2026-01-07 12:57:31.425000+00:00,656
2026-01-07 12:57:32.089000+00:00,667
2026-01-07 12:57:32.714000+00:00,621
2026-01-07 12:57:33.339000+00:00,625
2026-01-07 12:57:33.964000+00:00,632
2026-01-07 12:57:34.667000+00:00,679
2026-01-07 12:57:35.292000+00:00,632
2026-01-07 12:57:35.800000+00:00,531
2026-01-07 12:57:37.831000+00:00,0
2026-01-07 12:57:38.456000+00:00,621
2026-01-07 12:57:39.081000+00:00,617
2026-01-07 12:57:39.667000+00:00,597
2026-01-07 12:57:40.292000+00:00,593
2026-01-07 12:57:40.878000+00:00,605
2026-01-07 12:57:41.503000+00:00,601
2026-01-07 12:57:42.089000+00:00,601
2026-01-07 12:57:42.714000+00:00,613
2026-01-07 12:57:43.222000+00:00,539
2026-01-07 12:57:43.964000+00:00,710
2026-01-07 12:57:44.550000+00:00,605
2026-01-07 12:57:45.175000+00:00,617
2026-01-07 12:57:45.800000+00:00,625
2026-01-07 12:57:46.425000+00:00,628
2026-01-07 12:57:47.050000+00:00,625
2026-01-07 12:57:47.675000+00:00,632
2026-01-07 12:57:48.300000+00:00,625
2026-01-07 12:57:48.925000+00:00,621
2026-01-07 12:57:49.550000+00:00,601
2026-01-07 12:57:50.136000+00:00,585
